temperature,energy,Cv,magnetization
0.85,-368.12627950060755,142.5160791467115,190.54456594670177
0.9,-343.5514333647713,175.20661571148977,162.5909888129333
1.0,-319.34754024199,254.95710231739213,151.41754406868301
1.1,-298.86983127401066,126.01128056018096,136.17719068559646
1.2,-276.78954716446054,290.83458351612234,103.29398051413034
1.2,-257.8230681818211,185.25042891884976,58.49315032805725
1.3,-234.08594727814517,174.73325014603716,68.06497754096812
1.3,-233.07929073047382,133.93732051280003,47.0674259128772
1.4,-227.86218267450653,131.51931148265564,84.70284585229773
1.5,-195.4524004577495,131.2546637979653,39.16651027222847
0.8,-374.05757330119195,132.36924797761276,181.64609422107338
0.9,-354.71721969032154,181.97312089395396,163.9769035744671
1.0,-325.7990887016576,246.31513934793475,162.79535472955936
1.1,-294.6401156964812,301.7803580442699,130.10719853930473
1.2,-263.25266450914285,314.1772699442704,84.57662032905108
1.25,-231.1960492684232,183.09364110808824,24.446162678232618
1.3,-223.29212798237242,268.5288239968036,65.93501536386992
1.35,-226.34436309175285,180.8019860818848,27.945671456981213
1.4,-221.61525721442982,171.23771151845528,56.59038268358698
1.5,-197.33826997785852,129.4303799483783,42.683714603388715
1.6,-178.32783005398187,93.55928573341714,30.201117828991677
1.7,-165.82933728983463,158.7426258286192,20.606780884655905
0.1,-465.6399263726167,222.69721867050976,221.27736227322796
2.1,-123.84774085107395,67.2131702116745,6.43956893151018
0.3,-430.31645805286564,346.3515520913967,172.2829604180888

