lambda,size
0.715282,1
0.715283,1
0.715284,1
0.715285,1
0.715286,1
0.715287,1
0.715288,1
0.715289,1
0.71529,1
0.715291,1
0.715292,1
0.715293,1
0.715294,1
0.715295,1
0.715296,1
0.715297,1
0.715298,1
0.715299,1
0.7153,1
0.715301,1
0.715302,1
0.715303,1
0.715304,1
0.715305,1
0.715306,1
0.715307,1
0.715308,1
0.715309,1
0.71531,1
0.715311,1
0.715312,1
0.715313,1
0.715314,1
0.715315,1
0.715316,1
0.715317,1
0.715318,1
0.715319,1
0.71532,1
0.715321,1
0.715322,1
0.715323,1
0.715324,1
0.715325,1
0.715326,1
0.715327,1
0.715328,1
0.715329,1
0.71533,1
0.715331,1
0.715332,1
0.715333,1
0.715334,1
0.715335,1
0.715336,1
0.715337,1
0.715338,1
0.715339,1
0.71534,1
0.715341,1
0.715342,1
0.715343,1
0.715344,1
0.715345,1
0.715346,1
0.715347,1
0.715348,1
0.715349,1
0.71535,1
0.715351,1
0.715352,1
0.715353,1
0.715354,1
0.715355,1
0.715356,1
0.715357,1
0.715358,1
0.715359,1
0.71536,1
0.715361,1
0.715362,1
0.715363,1
0.715364,1
0.715365,1
0.715366,1
0.715367,1
0.715368,1
0.715369,1
0.71537,1
0.715371,1
0.715372,1
0.715373,1
0.715374,1
0.715375,1
0.715376,1
0.715377,1
0.715378,1
0.715379,1
0.71538,1
0.715381,1
0.715382,1
0.715383,1
0.715384,1
0.715385,1
0.715386,1
0.715387,1
0.715388,1
0.715389,1
0.71539,1
0.715391,1
0.715392,1
0.715393,1
0.715394,1
0.715395,1
0.715396,1
0.715397,1
0.715398,1
0.715399,1
0.7154,1
0.715401,1
0.715402,1
0.715403,1
0.715404,1
0.715405,1
0.715406,1
0.715407,1
0.715408,1
0.715409,1
0.71541,1
0.715411,1
0.715412,1
0.715413,1
0.715414,1
0.715415,1
0.715416,1
0.715417,1
0.715418,1
0.715419,1
0.71542,1
0.715421,1
0.715422,1
0.715423,1
0.715424,1
0.715425,1
0.715426,1
0.715427,1
0.715428,1
0.715429,1
0.71543,1
0.715431,1
0.715432,1
0.715433,1
0.715434,1
0.715435,1
0.715436,1
0.715437,1
0.715438,1
0.715439,1
0.71544,1
0.715441,1
0.715442,1
0.715443,1
0.715444,1
0.715445,1
0.715446,1
0.715447,1
0.715448,1
0.715449,1
0.71545,1
0.715451,1
0.715452,1
0.715453,1
0.715454,1
0.715455,1
0.715456,1
0.715457,1
0.715458,1
0.715459,1
0.71546,1
0.715461,1
0.715462,1
0.715463,1
0.715464,1
0.715465,1
0.715466,1
0.715467,1
0.715468,1
0.715469,1
0.71547,1
0.715471,1
0.715472,1
0.715473,1
0.715474,1
0.715475,1
0.715476,1
0.715477,1
0.715478,1
0.715479,1
0.71548,1
0.715481,1
0.715482,1
0.715483,1
0.715484,1
0.715485,1
0.715486,1
0.715487,1
0.715488,1
0.715489,1
0.71549,1
0.715491,1
0.715492,1
0.715493,1
0.715494,1
0.715495,1
0.715496,1
0.715497,1
0.715498,1
0.715499,1
0.7155,1
0.715501,1
0.715502,1
0.715503,1
0.715504,1
0.715505,1
0.715506,1
0.715507,1
0.715508,1
0.715509,1
0.71551,1
0.715511,1
0.715512,1
0.715513,1
0.715514,1
0.715515,1
0.715516,1
0.715517,1
0.715518,1
0.715519,1
0.71552,1
0.715521,1
0.715522,1
0.715523,1
0.715524,1
0.715525,1
0.715526,1
0.715527,1
0.715528,1
0.715529,1
0.71553,1
0.715531,1
0.715532,1
0.715533,1
0.715534,1
0.715535,1
0.715536,1
0.715537,1
0.715538,1
0.715539,1
0.71554,1
0.715541,1
0.715542,1
0.715543,1
0.715544,1
0.715545,1
0.715546,1
0.715547,1
0.715548,1
0.715549,1
0.71555,1
0.715551,1
0.715552,1
0.715553,1
0.715554,1
0.715555,1
0.715556,1
0.715557,1
0.715558,1
0.715559,1
0.71556,1
0.715561,1
0.715562,1
0.715563,1
0.715564,1
0.715565,1
0.715566,1
0.715567,1
0.715568,1
0.715569,1
0.71557,1
0.715571,1
0.715572,1
0.715573,1
0.715574,1
0.715575,1
0.715576,1
0.715577,1
0.715578,1
0.715579,1
0.71558,1
0.715581,1
0.715582,1
0.715583,1
0.715584,1
0.715585,1
0.715586,1
0.715587,1
0.715588,1
0.715589,1
0.71559,1
0.715591,1
0.715592,1
0.715593,1
0.715594,1
0.715595,1
0.715596,1
0.715597,1
0.715598,1
0.715599,1
0.7156,1
0.715601,1
0.715602,1
0.715603,1
0.715604,1
0.715605,1
0.715606,1
0.715607,1
0.715608,1
0.715609,1
0.71561,1
0.715611,1
0.715612,1
0.715613,1
0.715614,1
0.715615,1
0.715616,1
0.715617,1
0.715618,1
0.715619,1
0.71562,1
0.715621,1
0.715622,1
0.715623,1
0.715624,1
0.715625,1
0.715626,1
0.715627,1
0.715628,1
0.715629,1
0.71563,1
0.715631,1
0.715632,1
0.715633,1
0.715634,1
0.715635,1
0.715636,1
0.715637,1
0.715638,1
0.715639,1
0.71564,1
0.715641,1
0.715642,1
0.715643,1
0.715644,1
0.715645,1
0.715646,1
0.715647,1
0.715648,1
0.715649,1
0.71565,1
0.715651,1
0.715652,1
0.715653,1
0.715654,1
0.715655,1
0.715656,1
0.715657,1
0.715658,1
0.715659,1
0.71566,1
0.715661,1
0.715662,1
0.715663,1
0.715664,1
0.715665,1
0.715666,1
0.715667,1
0.715668,1
0.715669,1
0.71567,1
0.715671,1
0.715672,1
0.715673,1
0.715674,1
0.715675,1
0.715676,1
0.715677,1
0.715678,1
0.715679,1
0.71568,1
0.715681,1
0.715682,1
0.715683,1
0.715684,1
0.715685,1
0.715686,1
0.715687,1
0.715688,1
0.715689,1
0.71569,1
0.715691,1
0.715692,1
0.715693,1
0.715694,1
0.715695,1
0.715696,1
0.715697,1
0.715698,1
0.715699,1
0.7157,1
0.715701,1
0.715702,1
0.715703,1
0.715704,1
0.715705,1
0.715706,1
0.715707,1
0.715708,1
0.715709,1
0.71571,1
0.715711,1
0.715712,1
0.715713,1
0.715714,1
0.715715,1
0.715716,1
0.715717,1
0.715718,1
0.715719,1
0.71572,1
0.715721,1
0.715722,1
0.715723,1
0.715724,1
0.715725,1
0.715726,1
0.715727,1
0.715728,1
0.715729,1
0.71573,1
0.715731,1
0.715732,1
0.715733,1
0.715734,1
0.715735,1
0.715736,1
0.715737,1
0.715738,1
0.715739,1
0.71574,1
0.715741,1
0.715742,1
0.715743,1
0.715744,1
0.715745,1
0.715746,1
0.715747,1
0.715748,1
0.715749,1
0.71575,1
0.715751,1
0.715752,1
0.715753,1
0.715754,1
0.715755,1
0.715756,1
0.715757,1
0.715758,1
0.715759,1
0.71576,1
0.715761,1
0.715762,1
0.715763,1
0.715764,1
0.715765,1
0.715766,1
0.715767,1
0.715768,1
0.715769,1
0.71577,1
0.715771,1
0.715772,1
0.715773,1
0.715774,1
0.715775,1
0.715776,1
0.715777,1
0.715778,1
0.715779,1
0.71578,1
0.715781,1
0.715782,1
0.715783,1
0.715784,1
0.715785,1
0.715786,1
0.715787,1
0.715788,1
0.715789,1
0.71579,1
0.715791,1
0.715792,1
0.715793,1
0.715794,1
0.715795,1
0.715796,1
0.715797,1
0.715798,1
0.715799,1
0.7158,1
0.715801,1
0.715802,1
0.715803,1
0.715804,1
0.715805,1
0.715806,1
0.715807,1
0.715808,1
0.715809,1
0.71581,1
0.715811,1
0.715812,1
0.715813,1
0.715814,1
0.715815,1
0.715816,1
0.715817,1
0.715818,1
0.715819,1
0.71582,1
0.715821,1
0.715822,1
0.715823,1
0.715824,1
0.715825,1
0.715826,1
0.715827,1
0.715828,1
0.715829,1
0.71583,1
0.715831,1
0.715832,1
0.715833,1
0.715834,1
0.715835,1
0.715836,1
0.715837,1
0.715838,1
0.715839,1
0.71584,1
0.715841,1
0.715842,1
0.715843,1
0.715844,1
0.715845,1
0.715846,1
0.715847,1
0.715848,1
0.715849,1
0.71585,1
0.715851,1
0.715852,1
0.715853,1
0.715854,1
0.715855,1
0.715856,1
0.715857,1
0.715858,1
0.715859,1
0.71586,1
0.715861,1
0.715862,1
0.715863,1
0.715864,1
0.715865,1
0.715866,1
0.715867,1
0.715868,1
0.715869,1
0.71587,1
0.715871,1
0.715872,1
0.715873,1
0.715874,1
0.715875,1
0.715876,1
0.715877,1
0.715878,1
0.715879,1
0.71588,1
0.715881,1
0.715882,1
0.715883,1
0.715884,1
0.715885,1
0.715886,1
0.715887,1
0.715888,1
0.715889,1
0.71589,1
0.715891,1
0.715892,1
0.715893,1
0.715894,1
0.715895,1
0.715896,1
0.715897,1
0.715898,1
0.715899,1
0.7159,1
0.715901,1
0.715902,1
0.715903,1
0.715904,1
0.715905,1
0.715906,1
0.715907,1
0.715908,1
0.715909,1
0.71591,1
0.715911,1
0.715912,1
0.715913,1
0.715914,1
0.715915,1
0.715916,1
0.715917,1
0.715918,1
0.715919,1
0.71592,1
0.715921,1
0.715922,1
0.715923,1
0.715924,1
0.715925,1
0.715926,1
0.715927,1
0.715928,1
0.715929,1
0.71593,1
0.715931,1
0.715932,1
0.715933,1
0.715934,1
0.715935,1
0.715936,1
0.715937,1
0.715938,1
0.715939,1
0.71594,1
0.715941,1
0.715942,1
0.715943,1
0.715944,1
0.715945,1
0.715946,1
0.715947,1
0.715948,1
0.715949,1
0.71595,1
0.715951,1
0.715952,1
0.715953,1
0.715954,1
0.715955,1
0.715956,1
0.715957,1
0.715958,1
0.715959,1
0.71596,1
0.715961,1
0.715962,1
0.715963,1
0.715964,1
0.715965,1
0.715966,1
0.715967,1
0.715968,1
0.715969,1
0.71597,1
0.715971,1
0.715972,1
0.715973,1
0.715974,1
0.715975,1
0.715976,1
0.715977,1
0.715978,1
0.715979,1
0.71598,1
0.715981,1
0.715982,1
0.715983,1
0.715984,1
0.715985,1
0.715986,1
0.715987,1
0.715988,1
0.715989,1
0.71599,1
0.715991,1
0.715992,1
0.715993,1
0.715994,1
0.715995,1
0.715996,1
0.715997,1
0.715998,1
0.715999,1
0.716,1
0.716001,1
0.716002,1
0.716003,1
0.716004,1
0.716005,1
0.716006,1
0.716007,1
0.716008,1
0.716009,1
0.71601,1
0.716011,1
0.716012,1
0.716013,1
0.716014,1
0.716015,1
0.716016,1
0.716017,1
0.716018,1
0.716019,1
0.71602,1
0.716021,1
0.716022,1
0.716023,1
0.716024,1
0.716025,1
0.716026,1
0.716027,1
0.716028,1
0.716029,1
0.71603,1
0.716031,1
0.716032,1
0.716033,1
0.716034,1
0.716035,1
0.716036,1
0.716037,1
0.716038,1
0.716039,1
0.71604,1
0.716041,1
0.716042,1
0.716043,1
0.716044,1
0.716045,1
0.716046,1
0.716047,1
0.716048,1
0.716049,1
0.71605,1
0.716051,1
0.716052,1
0.716053,1
0.716054,1
0.716055,1
0.716056,1
0.716057,1
0.716058,1
0.716059,1
0.71606,1
0.716061,1
0.716062,1
0.716063,1
0.716064,1
0.716065,1
0.716066,1
0.716067,1
0.716068,1
0.716069,1
0.71607,1
0.716071,1
0.716072,1
0.716073,1
0.716074,1
0.716075,1
0.716076,1
0.716077,1
0.716078,1
0.716079,1
0.71608,1
0.716081,1
0.716082,1
0.716083,1
0.716084,1
0.716085,1
0.716086,1
0.716087,1
0.716088,1
0.716089,1
0.71609,1
0.716091,1
0.716092,1
0.716093,1
0.716094,1
0.716095,1
0.716096,1
0.716097,1
0.716098,1
0.716099,1
0.7161,1
0.716101,1
0.716102,1
0.716103,1
0.716104,1
0.716105,1
0.716106,1
0.716107,1
0.716108,1
0.716109,1
0.71611,1
0.716111,1
0.716112,1
0.716113,1
0.716114,1
0.716115,1
0.716116,1
0.716117,1
0.716118,1
0.716119,1
0.71612,1
0.716121,1
0.716122,1
0.716123,1
0.716124,1
0.716125,1
0.716126,1
0.716127,1
0.716128,1
0.716129,1
0.71613,1
0.716131,1
0.716132,1
0.716133,1
0.716134,1
0.716135,1
0.716136,1
0.716137,1
0.716138,1
0.716139,1
0.71614,1
0.716141,1
0.716142,1
0.716143,1
0.716144,1
0.716145,1
0.716146,1
0.716147,1
0.716148,1
0.716149,1
0.71615,1
0.716151,1
0.716152,1
0.716153,1
0.716154,1
0.716155,1
0.716156,1
0.716157,1
0.716158,1
0.716159,1
0.71616,1
0.716161,1
0.716162,1
0.716163,1
0.716164,1
0.716165,1
0.716166,1
0.716167,1
0.716168,1
0.716169,1
0.71617,1
0.716171,1
0.716172,1
0.716173,1
0.716174,1
0.716175,1
0.716176,1
0.716177,1
0.716178,1
0.716179,1
0.71618,1
0.716181,1
0.716182,1
0.716183,1
0.716184,1
0.716185,1
0.716186,1
0.716187,1
0.716188,1
0.716189,1
0.71619,1
0.716191,1
0.716192,1
0.716193,1
0.716194,1
0.716195,1
0.716196,1
0.716197,1
0.716198,1
0.716199,1
0.7162,1
0.716201,1
0.716202,1
0.716203,1
0.716204,1
0.716205,1
0.716206,1
0.716207,1
0.716208,1
0.716209,1
0.71621,1
0.716211,1
0.716212,1
0.716213,1
0.716214,1
0.716215,1
0.716216,1
0.716217,1
0.716218,1
0.716219,1
0.71622,1
0.716221,1
0.716222,1
0.716223,1
0.716224,1
0.716225,1
0.716226,1
0.716227,1
0.716228,1
0.716229,1
0.71623,1
0.716231,1
0.716232,1
0.716233,1
0.716234,1
0.716235,1
0.716236,1
0.716237,1
0.716238,1
0.716239,1
0.71624,1
0.716241,1
0.716242,1
0.716243,1
0.716244,1
0.716245,1
0.716246,1
0.716247,1
0.716248,1
0.716249,1
0.71625,1
0.716251,1
0.716252,1
0.716253,1
0.716254,1
0.716255,1
0.716256,1
0.716257,1
0.716258,1
0.716259,1
0.71626,1
0.716261,1
0.716262,1
0.716263,1
0.716264,1
0.716265,1
0.716266,1
0.716267,1
0.716268,1
0.716269,1
0.71627,1
0.716271,1
0.716272,1
0.716273,1
0.716274,1
0.716275,1
0.716276,1
0.716277,1
0.716278,1
0.716279,1
0.71628,1
0.716281,1
0.716282,1
0.716283,1
0.716284,1
0.716285,1
0.716286,1
0.716287,1
0.716288,1
0.716289,1
0.71629,1
0.716291,1
0.716292,1
0.716293,1
0.716294,1
0.716295,1
0.716296,1
0.716297,1
0.716298,1
0.716299,1
0.7163,1
0.716301,1
0.716302,1
0.716303,1
0.716304,1
0.716305,1
0.716306,1
0.716307,1
0.716308,1
0.716309,1
0.71631,1
0.716311,1
0.716312,1
0.716313,1
0.716314,1
0.716315,1
0.716316,1
0.716317,1
0.716318,1
0.716319,1
0.71632,1
0.716321,1
0.716322,1
0.716323,1
0.716324,1
0.716325,1
0.716326,1
0.716327,1
0.716328,1
0.716329,1
0.71633,1
0.716331,1
0.716332,1
0.716333,1
0.716334,1
0.716335,1
0.716336,1
0.716337,1
0.716338,1
0.716339,1
0.71634,1
0.716341,1
0.716342,1
0.716343,1
0.716344,1
0.716345,1
0.716346,1
0.716347,1
0.716348,1
0.716349,1
0.71635,1
0.716351,1
0.716352,1
0.716353,1
0.716354,1
0.716355,1
0.716356,1
0.716357,1
0.716358,1
0.716359,1
0.71636,1
0.716361,1
0.716362,1
0.716363,1
0.716364,1
0.716365,1
0.716366,1
0.716367,1
0.716368,1
0.716369,1
0.71637,1
0.716371,1
0.716372,1
0.716373,1
0.716374,1
0.716375,1
0.716376,1
0.716377,1
0.716378,1
0.716379,1
0.71638,1
0.716381,1
0.716382,1
0.716383,1
0.716384,1
0.716385,1
0.716386,1
0.716387,1
0.716388,1
0.716389,1
0.71639,1
0.716391,1
0.716392,1
0.716393,1
0.716394,1
0.716395,1
0.716396,1
0.716397,1
0.716398,1
0.716399,1
0.7164,1
0.716401,1
0.716402,1
0.716403,1
0.716404,1
0.716405,1
0.716406,1
0.716407,1
0.716408,1
0.716409,1
0.71641,1
0.716411,1
0.716412,1
0.716413,1
0.716414,1
0.716415,1
0.716416,1
0.716417,1
0.716418,1
0.716419,1
0.71642,1
0.716421,1
0.716422,1
0.716423,1
0.716424,1
0.716425,1
0.716426,1
0.716427,1
0.716428,1
0.716429,1
0.71643,1
0.716431,1
0.716432,1
0.716433,1
0.716434,1
0.716435,1
0.716436,1
0.716437,1
0.716438,1
0.716439,1
0.71644,1
0.716441,1
0.716442,1
0.716443,1
0.716444,1
0.716445,1
0.716446,1
0.716447,1
0.716448,1
0.716449,1
0.71645,1
0.716451,1
0.716452,1
0.716453,1
0.716454,1
0.716455,1
0.716456,1
0.716457,1
0.716458,1
0.716459,1
0.71646,1
0.716461,1
0.716462,1
0.716463,1
0.716464,1
0.716465,1
0.716466,1
0.716467,1
0.716468,1
0.716469,1
0.71647,1
0.716471,1
0.716472,1
0.716473,1
0.716474,1
0.716475,1
0.716476,1
0.716477,1
0.716478,1
0.716479,1
0.71648,1
0.716481,1
0.716482,1
0.716483,1
0.716484,1
0.716485,1
0.716486,1
0.716487,1
0.716488,1
0.716489,1
0.71649,1
0.716491,1
0.716492,1
0.716493,1
0.716494,1
0.716495,1
0.716496,1
0.716497,1
0.716498,1
0.716499,1
0.7165,1
0.716501,1
0.716502,1
0.716503,1
0.716504,1
0.716505,1
0.716506,1
0.716507,1
0.716508,1
0.716509,1
0.71651,1
0.716511,1
0.716512,1
0.716513,1
0.716514,1
0.716515,1
0.716516,1
0.716517,1
0.716518,1
0.716519,1
0.71652,1
0.716521,1
0.716522,1
0.716523,1
0.716524,1
0.716525,1
0.716526,1
0.716527,1
0.716528,1
0.716529,1
0.71653,1
0.716531,1
0.716532,1
0.716533,1
0.716534,1
0.716535,1
0.716536,1
0.716537,1
0.716538,1
0.716539,1
0.71654,1
0.716541,1
0.716542,1
0.716543,1
0.716544,1
0.716545,1
0.716546,1
0.716547,1
0.716548,1
0.716549,1
0.71655,1
0.716551,1
0.716552,1
0.716553,1
0.716554,1
0.716555,1
0.716556,1
0.716557,1
0.716558,1
0.716559,1
0.71656,1
0.716561,1
0.716562,1
0.716563,1
0.716564,1
0.716565,1
0.716566,1
0.716567,1
0.716568,1
0.716569,1
0.71657,1
0.716571,1
0.716572,1
0.716573,1
0.716574,1
0.716575,1
0.716576,1
0.716577,1
0.716578,1
0.716579,1
0.71658,1
0.716581,1
0.716582,1
0.716583,1
0.716584,1
0.716585,1
0.716586,1
0.716587,1
0.716588,1
0.716589,1
0.71659,1
0.716591,1
0.716592,1
0.716593,1
0.716594,1
0.716595,1
0.716596,1
0.716597,1
0.716598,1
0.716599,1
0.7166,1
0.716601,1
0.716602,1
0.716603,1
0.716604,1
0.716605,1
0.716606,1
0.716607,1
0.716608,1
0.716609,1
0.71661,1
0.716611,1
0.716612,1
0.716613,1
0.716614,1
0.716615,1
0.716616,1
0.716617,1
0.716618,1
0.716619,1
0.71662,1
0.716621,1
0.716622,1
0.716623,1
0.716624,1
0.716625,1
0.716626,1
0.716627,1
0.716628,1
0.716629,1
0.71663,1
0.716631,1
0.716632,1
0.716633,1
0.716634,1
0.716635,1
0.716636,1
0.716637,1
0.716638,1
0.716639,1
0.71664,1
0.716641,1
0.716642,1
0.716643,1
0.716644,1
0.716645,1
0.716646,1
0.716647,1
0.716648,1
0.716649,1
0.71665,1
0.716651,1
0.716652,1
0.716653,1
0.716654,1
0.716655,1
0.716656,1
0.716657,1
0.716658,1
0.716659,1
0.71666,1
0.716661,1
0.716662,1
0.716663,1
0.716664,1
0.716665,1
0.716666,1
0.716667,1
0.716668,1
0.716669,1
0.71667,1
0.716671,1
0.716672,1
0.716673,1
0.716674,1
0.716675,1
0.716676,1
0.716677,1
0.716678,1
0.716679,1
0.71668,1
0.716681,1
0.716682,1
0.716683,1
0.716684,1
0.716685,1
0.716686,1
0.716687,1
0.716688,1
0.716689,1
0.71669,1
0.716691,1
0.716692,1
0.716693,1
0.716694,1
0.716695,1
0.716696,1
0.716697,1
0.716698,1
0.716699,1
0.7167,1
0.716701,1
0.716702,1
0.716703,1
0.716704,1
0.716705,1
0.716706,1
0.716707,1
0.716708,1
0.716709,1
0.71671,1
0.716711,1
0.716712,1
0.716713,1
0.716714,1
0.716715,1
0.716716,1
0.716717,1
0.716718,1
0.716719,1
0.71672,1
0.716721,1
0.716722,1
0.716723,1
0.716724,1
0.716725,1
0.716726,1
0.716727,1
0.716728,1
0.716729,1
0.71673,1
0.716731,1
0.716732,1
0.716733,1
0.716734,1
0.716735,1
0.716736,1
0.716737,1
0.716738,1
0.716739,1
0.71674,1
0.716741,1
0.716742,1
0.716743,1
0.716744,1
0.716745,1
0.716746,1
0.716747,1
0.716748,1
0.716749,1
0.71675,1
0.716751,1
0.716752,1
0.716753,1
0.716754,1
0.716755,1
0.716756,1
0.716757,1
0.716758,1
0.716759,1
0.71676,1
0.716761,1
0.716762,1
0.716763,1
0.716764,1
0.716765,1
0.716766,1
0.716767,1
0.716768,1
0.716769,1
0.71677,1
0.716771,1
0.716772,1
0.716773,1
0.716774,1
0.716775,1
0.716776,1
0.716777,1
0.716778,1
0.716779,1
0.71678,1
0.716781,1
0.716782,1
0.716783,1
0.716784,1
0.716785,1
0.716786,1
0.716787,1
0.716788,1
0.716789,1
0.71679,1
0.716791,1
0.716792,1
0.716793,1
0.716794,1
0.716795,1
0.716796,1
0.716797,1
0.716798,1
0.716799,1
0.7168,1
0.716801,1
0.716802,1
0.716803,1
0.716804,1
0.716805,1
0.716806,1
0.716807,1
0.716808,1
0.716809,1
0.71681,1
0.716811,1
0.716812,1
0.716813,1
0.716814,1
0.716815,1
0.716816,1
0.716817,1
0.716818,1
0.716819,1
0.71682,1
0.716821,1
0.716822,1
0.716823,1
0.716824,1
0.716825,1
0.716826,1
0.716827,1
0.716828,1
0.716829,1
0.71683,1
0.716831,1
0.716832,1
0.716833,1
0.716834,1
0.716835,1
0.716836,1
0.716837,1
0.716838,1
0.716839,1
0.71684,1
0.716841,1
0.716842,1
0.716843,1
0.716844,1
0.716845,1
0.716846,1
0.716847,1
0.716848,1
0.716849,1
0.71685,1
0.716851,1
0.716852,1
0.716853,1
0.716854,1
0.716855,1
0.716856,1
0.716857,1
0.716858,1
0.716859,1
0.71686,1
0.716861,1
0.716862,1
0.716863,1
0.716864,1
0.716865,1
0.716866,1
0.716867,1
0.716868,1
0.716869,1
0.71687,1
0.716871,1
0.716872,1
0.716873,1
0.716874,1
0.716875,1
0.716876,1
0.716877,1
0.716878,1
0.716879,1
0.71688,1
0.716881,1
0.716882,1
0.716883,1
0.716884,1
0.716885,1
0.716886,1
0.716887,1
0.716888,1
0.716889,1
0.71689,1
0.716891,1
0.716892,1
0.716893,1
0.716894,1
0.716895,1
0.716896,1
0.716897,1
0.716898,1
0.716899,1
0.7169,1
0.716901,1
0.716902,1
0.716903,1
0.716904,1
0.716905,1
0.716906,1
0.716907,1
0.716908,1
0.716909,1
0.71691,1
0.716911,1
0.716912,1
0.716913,1
0.716914,1
0.716915,1
0.716916,1
0.716917,1
0.716918,1
0.716919,1
0.71692,1
0.716921,1
0.716922,1
0.716923,1
0.716924,1
0.716925,1
0.716926,1
0.716927,1
0.716928,1
0.716929,1
0.71693,1
0.716931,1
0.716932,1
0.716933,1
0.716934,1
0.716935,1
0.716936,1
0.716937,1
0.716938,1
0.716939,1
0.71694,1
0.716941,1
0.716942,1
0.716943,1
0.716944,1
0.716945,1
0.716946,1
0.716947,1
0.716948,1
0.716949,1
0.71695,1
0.716951,1
0.716952,1
0.716953,1
0.716954,1
0.716955,1
0.716956,1
0.716957,1
0.716958,1
0.716959,1
0.71696,1
0.716961,1
0.716962,1
0.716963,1
0.716964,1
0.716965,1
0.716966,1
0.716967,1
0.716968,1
0.716969,1
0.71697,1
0.716971,1
0.716972,1
0.716973,1
0.716974,1
0.716975,1
0.716976,1
0.716977,1
0.716978,1
0.716979,1
0.71698,1
0.716981,1
0.716982,1
0.716983,1
0.716984,1
0.716985,1
0.716986,1
0.716987,1
0.716988,1
0.716989,1
0.71699,1
0.716991,1
0.716992,1
0.716993,1
0.716994,1
0.716995,1
0.716996,1
0.716997,1
